Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Hanwha Life Esports,4,1,3,37.9,62,65,0.95,0.84,0.02,-0.056,54.9,-29.9,562,0.5,0.25,0.5,3,0.5,0.29,0.75,0.38,,0,0.17,0.505,0.496,3.48,1.56,2.1
Dplus KIA,3,0,3,34,32,49,0.65,0.79,-0.92,-0.085,43.7,-43.7,-537,0.67,1,0.33,3,0.67,0.5,0,0.5,,0,0,0.496,0.453,4.21,1.64,1.87
T1,3,3,0,34,49,32,1.53,0.79,0.92,0.085,56.3,43.7,537,0.33,0,0.67,4.3,0.33,0.5,1,0.5,,1,1,0.504,0.547,4.14,1.25,2.14
BNK FEARX,3,2,1,29.8,54,29,1.86,0.93,0.62,0.096,59.4,7.3,120,0.33,0.67,0.33,3.3,0.33,0.33,0.67,0.75,,0.67,0.75,0.521,0.549,3.68,1.37,2.06
Dplus KIA,3,2,1,34.2,44,27,1.63,0.69,0.96,0.055,69,-2.3,1458,1,0.33,0.67,2,0.67,0.83,0.67,0.31,1,0.67,0.67,0.501,0.496,4.28,1.65,2.32
Hanwha Life Esports,3,1,2,34.2,27,44,0.61,0.69,-0.96,-0.055,31,2.3,-1458,0,0.67,0.33,3.7,0.33,0.17,0.33,0.69,0,0.33,0.33,0.499,0.504,4.53,1.27,2.2
Nongshim RedForce,3,1,2,29.8,29,55,0.53,0.93,-0.62,-0.096,40.6,-7.3,-120,0.67,0.33,0.67,4,0.67,0.67,0.33,0.25,,0.33,0.25,0.479,0.451,4.32,1.68,1.42
DN Freecs,2,2,0,33.9,34,20,1.7,0.8,0.21,0.036,49.8,50.2,-612,0,0,0.5,5,1,0.17,1,0.7,,0.5,0.33,0.52,0.572,2.87,1.11,1.51
DRX,3,2,1,30.7,32,21,1.52,0.58,0.32,0.021,49.9,16.8,-428,0.67,0.33,0.67,0.7,0.33,0.78,0.67,0.75,,0.33,0.67,0.494,0.519,3.69,1.38,2.05
KT Rolster,2,0,2,33.9,20,34,0.59,0.8,-0.21,-0.036,50.2,-50.2,612,1,1,0.5,5,0,0.83,0,0.3,,0.5,0.67,0.48,0.428,3.18,1.8,1.31
OKSavingsBank BRION,3,1,2,30.7,21,32,0.66,0.58,-0.32,-0.021,50.1,-16.8,428,0.33,0.67,0.33,4,0.67,0.22,0.33,0.25,,0.33,0.33,0.506,0.481,3.85,1.6,1.79
BNK FEARX,2,0,2,32.5,21,34,0.62,0.85,-2.69,-0.107,10.9,-10.9,-3539,0,0.5,0,5.5,0.5,0.5,0,0.22,0,0.5,0.5,0.481,0.401,3.92,1.4,1.51
Gen.G,2,2,0,32.5,34,21,1.62,0.85,2.69,0.107,89.1,10.9,3539,1,0.5,1,8,0.5,0.5,1,0.78,1,0.5,0.5,0.519,0.599,3.83,1.4,2.23
Nongshim RedForce,2,0,2,33.5,14,37,0.38,0.76,-2.09,-0.053,30.4,-30.4,-1943,0.5,0.5,0,2.5,0,0.42,1,0.45,,0.5,0.5,0.482,0.457,4.21,1.59,1.38
T1,2,2,0,33.5,37,14,2.64,0.76,2.09,0.053,69.6,30.4,1943,0.5,0.5,1,5,1,0.58,0,0.55,,0.5,0.5,0.518,0.543,3.34,1.41,1.85
DN Freecs,3,2,1,30,42,19,2.21,0.68,0.85,0.092,58.8,7.9,708,0.33,1,0.67,3.7,0,0.39,0.67,0.67,,0.67,0.67,0.512,0.557,3.8,1.2,1.78
Dplus KIA,3,2,1,32.6,45,29,1.55,0.76,-0.15,0.059,41.3,25.4,-669,0.67,0,0.33,4.3,0,0,0.33,0.5,,0.67,0.67,0.509,0.506,4.25,1.61,2.09
KT Rolster,3,1,2,32.6,29,45,0.64,0.76,0.15,-0.059,58.7,-25.4,669,0.33,1,0.67,5,1,1,0.67,0.5,,0.33,0.33,0.491,0.494,4.07,1.7,1.94
OKSavingsBank BRION,3,1,2,30,19,42,0.45,0.68,-0.85,-0.092,41.2,-7.9,-708,0.67,0,0.33,1,1,0.61,0.33,0.33,,0.33,0.33,0.488,0.443,3.35,1.66,1.63
DRX,3,1,2,29.1,25,45,0.56,0.8,-1.44,-0.098,30.6,2.8,-978,0.67,0,0.33,1.7,0.67,0.44,0,0.25,,0.33,0.5,0.486,0.451,3.8,1.32,1.73
Gen.G,2,2,0,25.6,33,10,3.3,0.84,1.92,0.165,62.8,37.2,1173,0.5,1,1,3.5,1,0.75,0,0.57,,1,1,0.516,0.573,3.17,1.17,1.67
Hanwha Life Esports,3,2,1,29.1,45,25,1.8,0.8,1.44,0.098,69.4,-2.8,978,0.33,1,0.67,3.7,0.33,0.56,1,0.75,,0.67,0.5,0.514,0.549,3.64,1.27,2.01
T1,2,0,2,25.6,10,33,0.3,0.84,-1.92,-0.165,37.2,-37.2,-1173,0.5,0,0,2,0,0.25,1,0.43,,0,0,0.484,0.427,3.12,1.11,1.24
DN Freecs,2,2,0,32.6,28,15,1.87,0.66,0.4,0.108,57.4,42.6,323,0,0.5,0.5,3.5,0.5,0.33,1,0.89,,1,1,0.519,0.546,3.4,1.21,1.75
Dplus KIA,2,0,2,36.3,19,35,0.54,0.74,-0.05,-0.007,42.9,-42.9,-88,1,0.5,0.5,5,0.5,0.75,0,0.33,,0.5,0.2,0.496,0.484,3.34,1.26,2.02
Nongshim RedForce,2,0,2,32.6,15,28,0.54,0.66,-0.4,-0.108,42.6,-42.6,-323,1,0.5,0.5,2.5,0.5,0.67,0,0.11,,0,0,0.481,0.454,3.75,1.45,1.27
T1,2,2,0,36.3,35,19,1.84,0.74,0.05,0.007,57.1,42.9,88,0,0.5,0.5,5.5,0.5,0.25,1,0.67,,0.5,0.8,0.504,0.516,4.15,1.25,1.48
BNK FEARX,2,0,2,37,20,46,0.43,0.89,-1.54,-0.074,39.5,-39.5,-108,0,0,0,3,0.5,0.5,0,0.2,,0,0.25,0.501,0.502,3.73,1.39,1.86
DRX,2,2,0,37,46,20,2.3,0.89,1.54,0.074,60.5,39.5,108,1,1,1,1,0.5,0.5,1,0.8,,1,0.75,0.499,0.498,4.4,1.62,2
Gen.G,2,2,0,30.5,31,14,2.21,0.74,3.48,0.204,93,7,3873,1,1,1,7,1,0.5,1,0.89,,1,1,0.517,0.584,3.41,1.38,1.71
KT Rolster,2,0,2,30.5,14,31,0.45,0.74,-3.48,-0.204,7,-7,-3873,0,0,0,0.5,0,0.5,0,0.11,,0,0,0.483,0.416,3.15,1.53,1.28
DN Freecs,3,1,2,33.5,26,51,0.51,0.77,-1.7,-0.096,21.9,11.5,-1683,0.33,0.33,0,2.7,0,0.53,0,0.43,,0.33,0.5,0.502,0.461,2.94,1.11,1.48
Hanwha Life Esports,2,2,0,28.8,34,12,2.83,0.8,2.67,0.159,81.7,18.3,3231,0.5,0.5,0.5,6.5,1,0.5,0.5,0.75,,1,1,0.517,0.575,3.2,1.23,2.2
OKSavingsBank BRION,2,0,2,28.8,12,34,0.35,0.8,-2.67,-0.159,18.3,-18.3,-3231,0.5,0.5,0.5,3.5,0,0.5,0.5,0.25,,0,0,0.483,0.425,3.7,1.44,1.27
T1,3,2,1,33.5,51,26,1.96,0.77,1.7,0.096,78.1,-11.5,1683,0.67,0.67,1,5.3,1,0.47,1,0.57,,0.67,0.5,0.498,0.539,3.55,1.43,1.37
BNK FEARX,2,0,2,36.5,21,51,0.41,0.99,-0.96,-0.154,32.2,-32.2,-710,0.5,0.5,0.5,2.5,1,0.83,0,0.44,0,0,0,0.49,0.462,4.19,1.36,1.69
Dplus KIA,2,2,0,36.5,51,21,2.43,0.99,0.96,0.154,67.8,32.2,710,0.5,0.5,0.5,1.5,0,0.17,1,0.56,1,1,1,0.51,0.538,3.81,1.74,2.23
DRX,3,1,2,27,23,42,0.55,0.8,-0.71,-0.059,32.4,1,-759,0.67,0.33,0.33,1,0.67,0.93,0,0.17,,0.33,0.33,0.494,0.525,3.7,1.33,1.64
Nongshim RedForce,3,2,1,27,42,23,1.83,0.8,0.71,0.059,67.6,-1,759,0.33,0.67,0.67,3.3,0.33,0.07,1,0.83,,0.67,0.67,0.506,0.475,3.62,1.65,1.55
Gen.G,2,2,0,24.2,35,12,2.92,0.97,3.12,0.169,92.4,7.6,4602,0.5,1,1,9,0.5,0.92,0,0.5,,1,1,0.499,0.603,3.33,1.41,1.18
Hanwha Life Esports,2,2,0,24.6,32,4,8,0.73,1.76,0.156,78.7,21.3,2545,0.5,0.5,1,5,1,0.33,0,0.67,,1,1,0.52,0.547,2.84,1.22,1.42
KT Rolster,2,0,2,24.6,4,32,0.13,0.73,-1.76,-0.156,21.3,-21.3,-2545,0.5,0.5,0,3,0,0.67,1,0.33,,0,0,0.48,0.453,2.76,1.18,1.28
OKSavingsBank BRION,2,0,2,24.2,12,35,0.34,0.97,-3.12,-0.169,7.6,-7.6,-4602,0.5,0,0,2,0.5,0.08,1,0.5,,0,0,0.501,0.397,3,1.36,1.18
DRX,2,0,2,27.8,9,20,0.45,0.52,-2.54,-0.067,12.2,-12.2,-3357,0,0,0,4,0,0.08,1,0.38,,0.5,0.5,0.498,0.409,3.44,1.35,1.27
Gen.G,2,2,0,37.5,33,22,1.5,0.73,0.5,0.068,49.8,50.2,501,0.5,1,1,4,0,0.67,0,0.55,,1,0.8,0.497,0.545,4.12,1.51,1.81
Hanwha Life Esports,2,0,2,37.5,22,33,0.67,0.73,-0.5,-0.068,50.2,-50.2,-501,0.5,0,0,2,1,0.33,1,0.45,,0,0.2,0.503,0.455,3.49,1.26,2.1
T1,2,2,0,27.8,20,9,2.22,0.52,2.54,0.067,87.8,12.2,3357,1,1,1,7,1,0.92,0,0.63,,0,0.5,0.502,0.591,2.89,0.96,1.72
Dplus KIA,2,2,0,25.9,34,14,2.43,0.93,2.37,0.154,70.5,29.5,1838,0.5,1,0.5,5.5,0,0.5,0.5,0.43,,1,1,0.519,0.491,4.49,1.31,2.32
KT Rolster,3,2,1,30.8,63,35,1.8,1.06,1.79,0.09,84.7,-18.1,2605,0.33,1,1,4.3,0.33,0.86,1,0.92,,0.33,0.25,0.509,0.536,3.15,1.63,1.73
Nongshim RedForce,2,0,2,25.9,14,34,0.41,0.93,-2.37,-0.154,29.5,-29.5,-1838,0.5,0,0.5,2,1,0.5,0.5,0.57,,0,0,0.481,0.509,3.85,1.47,1.82
OKSavingsBank BRION,3,1,2,30.8,35,63,0.56,1.06,-1.79,-0.09,15.3,18.1,-2605,0.67,0,0,1.3,0.67,0.14,0,0.08,,0.67,0.75,0.491,0.464,3.52,1.41,1.59
BNK FEARX,2,0,2,33.4,13,29,0.45,0.63,-1.97,-0.047,20.5,-20.5,-2043,0,0.5,0,2,0,0.08,0,0.3,,0,0.33,0.497,0.433,3.99,1.5,1.62
DN Freecs,2,2,0,33.4,29,13,2.23,0.63,1.97,0.047,79.5,20.5,2043,1,0.5,1,3,1,0.92,1,0.7,,1,0.67,0.503,0.567,3.53,1.14,1.88
DRX,2,0,2,25.9,15,29,0.52,0.85,-3.02,-0.111,8.2,-8.2,-4343,0,0,0,1,0.5,0.42,0,0.17,,0,0,0.48,0.419,3.3,1.17,1.43
Gen.G,2,2,0,25.9,29,15,1.93,0.85,3.02,0.111,91.8,8.2,4343,1,1,1,6.5,0.5,0.58,1,0.83,,0.5,1,0.52,0.581,3.34,1.09,1.53
Hanwha Life Esports,2,2,0,28.7,44,14,3.14,1.01,2.8,0.151,77.5,22.5,2350,0.5,1,1,3.5,0.5,0.33,0.5,0.86,,1,1,0.52,0.545,3.44,1.3,1.43
KT Rolster,3,2,1,30.8,38,25,1.52,0.68,1.22,0.028,79.8,-13.2,2376,0.67,0.33,0.67,4.7,1,1,0.67,0.83,0.5,0.33,0.5,0.497,0.466,3.97,1.93,1.99
Nongshim RedForce,2,0,2,28.7,14,44,0.32,1.01,-2.8,-0.151,22.5,-22.5,-2350,0.5,0,0,6,0.5,0.67,0.5,0.14,,0,0,0.48,0.455,3.19,1.05,1.23
T1,3,1,2,30.8,25,38,0.66,0.68,-1.22,-0.028,20.2,13.2,-2376,0.33,0.67,0.33,1.3,0,0,0.33,0.17,0.5,0.67,0.5,0.503,0.534,3.72,1.29,1.97
BNK FEARX,2,2,0,36.3,42,22,1.91,0.88,-0.29,0.049,16.8,83.2,-1909,0,0,0.5,0.5,0,0.92,0,0.5,,0.5,0.75,0.508,0.498,3.53,1.59,2.3
DN Freecs,3,1,2,35.2,21,54,0.39,0.71,-1,-0.071,22.7,10.6,-1884,0.33,0.67,0.33,1.3,0.67,0.56,0,0.38,0.5,0.67,0.5,0.508,0.498,3.42,1.11,1.8
Dplus KIA,3,2,1,35.2,54,21,2.57,0.71,1,0.071,77.3,-10.6,1884,0.67,0.33,0.67,4,0.33,0.44,1,0.62,0.5,0.33,0.5,0.492,0.502,4.28,1.54,1.76
OKSavingsBank BRION,2,0,2,36.3,22,42,0.52,0.88,0.29,-0.049,83.2,-83.2,1909,1,1,0.5,3.5,1,0.08,1,0.5,,0.5,0.25,0.492,0.502,4.26,1.73,1.57
KT Rolster,2,2,0,33.7,35,18,1.94,0.79,1.5,0.071,85.6,14.4,2952,1,1,0.5,1.5,1,0.7,0.5,0.67,1,0.5,0.67,0.499,0.525,4.29,1.64,1.77
Nongshim RedForce,2,0,2,33.7,18,35,0.51,0.79,-1.5,-0.071,14.4,-14.4,-2952,0,0,0.5,1.5,0,0.3,0.5,0.33,0,0.5,0.33,0.501,0.475,3.28,1.47,1.83
OKSavingsBank BRION,3,1,2,28.1,44,49,0.9,1.1,-1.69,-0.099,25.9,7.4,-3569,0.33,0,0,2.7,0.67,0.33,0.67,0.75,,0.33,0.5,0.498,0.434,3.25,1.5,1.82
T1,3,2,1,28.1,49,44,1.11,1.1,1.69,0.099,74.1,-7.4,3569,0.67,1,1,7.7,0.33,0.67,0.33,0.25,,0.67,0.5,0.502,0.566,4.02,1.3,1.32
DN Freecs,2,0,2,25.8,8,29,0.28,0.72,-2.4,-0.12,15.4,-15.4,-3142,0,0,0,3.5,0.5,0.33,0.5,0.29,,0,0,0.477,0.461,2.62,0.87,1.42
Dplus KIA,2,2,0,30.8,36,12,3,0.78,0.94,0.052,43.4,56.6,-1320,0.5,0,0.5,5,0.5,0.25,1,0.75,,1,1,0.505,0.524,4.28,1.38,1.72
DRX,2,0,2,30.8,12,37,0.32,0.78,-0.94,-0.052,56.6,-56.6,1320,0.5,1,0.5,8.5,0.5,0.75,0,0.25,,0,0,0.495,0.476,3.91,1.47,1.7
Gen.G,2,2,0,25.8,29,8,3.63,0.72,2.4,0.12,84.6,15.4,3142,1,1,1,4.5,0.5,0.67,0.5,0.71,,1,1,0.523,0.539,3.54,1.14,1.42
BNK FEARX,2,0,2,31.9,19,28,0.68,0.74,-2.07,-0.076,15.9,-15.9,-2657,0,0,0,0.5,0.5,0.58,0,0.13,,0,0.33,0.491,0.467,3.37,1.41,1.81
Hanwha Life Esports,3,2,1,36.1,27,34,0.79,0.56,-0.21,-0.083,57,9.7,597,1,0.67,0.33,4.3,0.67,0.44,0.33,0.56,0,0.33,0.33,0.502,0.483,4.46,1.38,2.17
KT Rolster,2,2,0,31.9,28,19,1.47,0.74,2.07,0.076,84.1,15.9,2657,1,1,1,6,0.5,0.42,1,0.88,,1,0.67,0.509,0.533,3.68,1.53,2
T1,3,1,2,36.1,34,27,1.26,0.56,0.21,0.083,43,-9.7,-597,0,0.33,0.67,4.3,0.33,0.56,0.67,0.44,1,0.67,0.67,0.498,0.517,4.07,1.47,2.12
Dplus KIA,2,0,2,30.5,17,29,0.59,0.75,-0.61,-0.092,42.8,-42.8,-404,0.5,1,0.5,4.5,1,0.22,0.5,0.11,,0,0,0.486,0.436,3.49,1.52,1.6
Gen.G,2,2,0,30.5,29,17,1.71,0.75,0.61,0.092,57.2,42.8,404,0.5,0,0.5,4,0,0.78,0.5,0.89,,1,1,0.514,0.564,3.7,1.41,1.82
Nongshim RedForce,2,2,0,40.6,29,30,0.97,0.73,-1.32,-0.043,36.9,63.1,-1433,0,0,0.5,1.5,0.5,0.33,1,0.73,,1,1,0.506,0.452,3.44,1.48,2.17
OKSavingsBank BRION,2,0,2,40.6,30,29,1.03,0.73,1.32,0.043,63.1,-63.1,1433,1,1,0.5,4,0.5,0.67,0,0.27,,0,0,0.494,0.548,4.4,1.91,1.92
BNK FEARX,2,0,2,27.4,10,33,0.3,0.77,-2.78,-0.135,22.7,-22.7,-2188,0,0,0.5,3,0.5,0.25,0.5,0.29,,0,0,0.474,0.388,3.83,1.35,1.48
DN Freecs,2,2,0,33.5,16,7,2.29,0.34,0.11,0.019,48.5,51.5,243,0,0.5,1,5.5,0.5,0.58,0.5,0.5,1,0,0.33,0.517,0.61,3.52,0.96,2.35
DRX,2,0,2,33.5,7,16,0.44,0.34,-0.11,-0.019,51.5,-51.5,-243,1,0.5,0,4.5,0.5,0.42,0.5,0.5,0,0.5,0.67,0.483,0.39,4.14,1.46,1.94
Hanwha Life Esports,2,2,0,27.4,32,10,3.2,0.77,2.78,0.135,77.3,22.7,2188,1,1,0.5,5.5,0.5,0.75,0.5,0.71,,1,1,0.526,0.612,3.56,1.15,2.04
DN Freecs,2,0,2,28.3,14,28,0.5,0.74,-1.89,-0.129,32,-32,-1393,0,0,0,1.5,0,0.25,0.5,0.38,,0,0,0.475,0.432,3.4,1.07,1.54
Dplus KIA,2,2,0,29.7,36,13,2.77,0.83,2.1,0.178,67.2,32.8,1614,1,0.5,1,6,1,0.36,0.5,0.63,,1,1,0.512,0.595,3.52,1.28,1.79
Hanwha Life Esports,2,2,0,28.3,28,14,2,0.74,1.89,0.129,68,32,1393,1,1,1,5,1,0.75,0.5,0.63,,1,1,0.525,0.568,3.13,1.11,1.57
OKSavingsBank BRION,2,0,2,29.7,13,36,0.36,0.83,-2.1,-0.178,32.8,-32.8,-1614,0,0.5,0,3.5,0,0.64,0.5,0.38,,0,0,0.488,0.405,3.03,1.4,1.57
BNK FEARX,3,2,1,28.7,23,18,1.28,0.48,-0.55,0.012,36.6,30.1,-1637,0.67,0,0.67,4.3,0.67,0.8,0.67,0.36,,0.67,0.8,0.493,0.502,3.17,1.27,1.41
Gen.G,2,2,0,25.6,47,18,2.61,1.27,3.2,0.158,75.1,24.9,3328,0.5,0.5,1,9,1,0.58,1,0.86,,0.5,0.5,0.526,0.599,3.18,1.19,1.34
Nongshim RedForce,2,0,2,25.6,18,47,0.38,1.27,-3.2,-0.158,24.9,-24.9,-3328,0.5,0.5,0,4.5,0,0.42,0,0.14,,0.5,0.5,0.474,0.401,2.81,0.96,0.9
T1,3,1,2,28.7,18,23,0.78,0.48,0.55,-0.012,63.4,-30.1,1637,0.33,1,0.33,7.7,0.33,0.2,0.33,0.64,,0.33,0.2,0.507,0.498,3.39,1.09,1.34
DN Freecs,3,1,2,32.8,21,40,0.53,0.62,0.1,-0.013,33.1,0.2,-1173,0.33,0.67,0.67,5,0.67,0.35,0.33,0.62,,0.33,0.33,0.506,0.575,3.24,1.16,1.63
DRX,2,0,2,31.7,17,38,0.45,0.87,-1.97,-0.126,29,-29,-1205,0,0.5,0,6,0.5,0.67,0,0.13,0,0,0,0.492,0.47,3.69,1.29,1.58
KT Rolster,2,2,0,31.7,38,17,2.24,0.87,1.97,0.126,71,29,1205,1,0.5,1,6.5,0.5,0.33,1,0.88,1,1,1,0.508,0.53,3.78,1.67,1.96
OKSavingsBank BRION,3,2,1,32.8,40,21,1.9,0.62,-0.1,0.013,66.9,-0.2,1173,0.67,0.33,0.33,3,0.33,0.65,0.67,0.38,,0.67,0.67,0.494,0.425,3.45,1.59,1.69
Dplus KIA,3,1,2,33.6,35,28,1.25,0.63,0.88,0.037,66.3,-33,1477,1,0.67,0.67,4,0.33,0.11,0.33,0.44,,0.33,0.2,0.492,0.455,4.07,1.49,1.51
Gen.G,3,2,1,33.6,28,35,0.8,0.63,-0.88,-0.037,33.7,33,-1477,0,0.33,0.33,5,0.67,0.89,0.67,0.56,,0.67,0.8,0.508,0.545,3.35,1.29,2.11
Hanwha Life Esports,2,2,0,29.8,30,10,3,0.67,1.04,0.068,57.3,42.7,385,1,0.5,0.5,5,0.5,0.08,1,0.75,,1,1,0.51,0.509,3.91,1.38,1.45
T1,2,0,2,29.8,10,30,0.33,0.67,-1.04,-0.068,42.7,-42.7,-385,0,0.5,0.5,4.5,0.5,0.92,0,0.25,,0,0,0.49,0.491,3.03,1.06,1.61
BNK FEARX,3,2,1,26.4,39,29,1.34,0.86,0.69,0.065,72.7,-6,2413,0.33,0.67,0.67,6,0.67,0.67,0,0.42,,0,0,0.501,0.538,3.87,1.32,1.71
DRX,2,0,2,32.1,18,30,0.6,0.75,1.08,-0.084,87.8,-87.8,3178,1,1,1,7,1,0.67,0,0.44,,0,0,0.5,0.456,3.67,1.56,1.52
KT Rolster,3,1,2,26.4,29,39,0.74,0.86,-0.69,-0.065,27.3,6,-2413,0.67,0.33,0.33,4.7,0.33,0.33,1,0.58,,0.33,1,0.499,0.462,3.01,1.31,1.62
Nongshim RedForce,2,2,0,32.1,30,18,1.67,0.75,-1.08,0.084,12.2,87.8,-3178,0,0,0,3.5,0,0.33,1,0.56,,1,1,0.5,0.544,3.31,1.17,1.76
BNK FEARX,2,2,0,33,30,11,2.73,0.62,1.88,0.127,75.7,24.3,1632,0.5,0.5,1,6.5,1,1,0.5,0.7,,1,1,0.507,0.565,4.03,1.2,1.79
Gen.G,2,2,0,29.3,36,16,2.25,0.89,3.45,0.128,89.1,10.9,2960,1,1,1,8,0.5,0.33,1,1,,1,1,0.531,0.553,3.51,1.06,1.43
Nongshim RedForce,2,0,2,33,11,30,0.37,0.62,-1.88,-0.127,24.3,-24.3,-1632,0.5,0.5,0,3,0,0,0.5,0.3,,0,0,0.493,0.435,3.4,1.32,1.81
OKSavingsBank BRION,2,0,2,29.3,16,36,0.44,0.89,-3.45,-0.128,10.9,-10.9,-2960,0,0,0,3,0.5,0.67,0,0,,0,0,0.469,0.447,3.27,1.39,1.35
DN Freecs,2,0,2,28.8,14,31,0.45,0.78,-1.38,-0.088,40.2,-40.2,-1600,0.5,0,0.5,4.5,0.5,0.17,1,0.86,0,0,0,0.49,0.508,2.9,1.09,1.64
Dplus KIA,2,2,0,29.2,30,15,2,0.77,2.28,0.124,72.7,27.3,2496,0.5,0.5,0.5,6.5,0.5,0.42,0.5,0.78,,1,1,0.52,0.567,4.04,1.5,1.94
DRX,2,0,2,29.2,15,30,0.5,0.77,-2.28,-0.124,27.3,-27.3,-2496,0.5,0.5,0.5,2,0.5,0.58,0.5,0.22,,0,0,0.48,0.433,3.33,1.28,1.59
Hanwha Life Esports,2,2,0,28.8,31,14,2.21,0.78,1.38,0.088,59.8,40.2,1600,0.5,1,0.5,5,0.5,0.83,0,0.14,1,1,1,0.51,0.492,3.47,1.22,1.28
BNK FEARX,2,2,0,28.3,22,11,2,0.58,1.15,0.097,64.2,35.8,437,0,1,1,5,0.5,0.75,1,1,,0.5,1,0.521,0.576,4.38,1.36,1.98
KT Rolster,3,1,2,32,34,44,0.77,0.81,-1.44,-0.111,36.7,-3.3,-1331,0.67,0,0.33,3.7,0.33,0.31,0.33,0.3,,0.33,0.2,0.495,0.405,3.59,1.46,1.91
OKSavingsBank BRION,2,0,2,28.3,11,22,0.5,0.58,-1.15,-0.097,35.8,-35.8,-437,1,0,0,3,0.5,0.25,0,0,,0,0,0.479,0.424,3.48,1.33,1.93
T1,3,2,1,32,44,34,1.29,0.81,1.44,0.111,63.3,3.3,1331,0.33,1,0.67,6.7,0.67,0.69,0.67,0.7,,0.67,0.8,0.505,0.595,3.97,1.28,1.81
DN Freecs,2,0,2,23.6,12,41,0.29,1.12,-4.33,-0.22,2.5,-2.5,-6294,0,0,0,2,0,0.1,0,0.4,,0,0,0.479,0.442,2.67,0.8,1.04
Dplus KIA,3,1,2,33.3,40,33,1.21,0.73,0.28,0.036,45.4,-12,-220,0.67,0.33,0.33,3.7,0.33,0.61,0.33,0.54,,0.67,0.6,0.497,0.491,3.9,1.54,1.83
Gen.G,2,2,0,23.6,41,12,3.42,1.12,4.33,0.22,97.5,2.5,6294,1,1,1,10,1,0.9,1,0.6,,1,1,0.521,0.558,3.57,1.08,1.11
Hanwha Life Esports,3,2,1,33.3,33,40,0.83,0.73,-0.28,-0.036,54.6,12,220,0.33,0.67,0.67,5,0.67,0.39,0.67,0.46,,0.33,0.4,0.503,0.509,3.51,1.23,2.1
DRX,2,0,2,36.8,23,37,0.62,0.82,-1.29,-0.09,40.9,-40.9,-1616,0.5,0.5,0,1.5,1,0.25,0.5,0.3,,0.5,0.75,0.48,0.404,3.74,1.3,1.7
KT Rolster,3,2,1,28.7,43,21,2.05,0.74,2.03,0.067,71.4,-4.8,1786,0.67,0.67,0.67,6,0.67,0.33,0.67,0.82,,0.67,0.67,0.49,0.489,2.97,1.33,1.57
Nongshim RedForce,3,1,2,28.7,21,43,0.49,0.74,-2.03,-0.067,28.6,4.8,-1786,0.33,0.33,0.33,4.3,0.33,0.67,0.33,0.18,,0.33,0.33,0.51,0.511,3.22,1.04,1.21
T1,2,2,0,36.8,37,23,1.61,0.82,1.29,0.09,59.1,40.9,1616,0.5,0.5,1,6.5,0,0.75,0.5,0.7,,0.5,0.25,0.52,0.596,3.16,1.09,1.95
Dplus KIA,3,1,2,35,26,46,0.57,0.69,-1.47,-0.065,24,9.4,-2229,0.67,0,0.33,4.3,0.67,0.5,0.67,0.35,,0.33,0.4,0.489,0.458,3.65,1.6,1.75
Hanwha Life Esports,3,1,2,34.2,29,64,0.45,0.9,-0.58,-0.056,34.2,-0.9,-637,0.67,0.67,0.33,4.7,0.33,0.56,0,0.33,,0.67,0.6,0.503,0.535,3.32,1.22,1.73
KT Rolster,3,2,1,34.2,63,29,2.17,0.9,0.58,0.056,65.8,0.9,637,0.33,0.33,0.67,5,0.67,0.44,1,0.67,,0.33,0.4,0.497,0.465,3.55,1.36,1.46
T1,3,2,1,35,46,26,1.77,0.69,1.47,0.065,76,-9.4,2229,0.33,1,0.67,7.7,0.33,0.5,0.33,0.65,,0.67,0.6,0.511,0.542,3.78,1.27,1.77
BNK FEARX,2,0,2,30.3,20,32,0.63,0.86,-1.78,-0.041,12.9,-12.9,-4257,1,0,0,6,1,0.58,0,0.33,,1,1,0.471,0.426,3.73,1.33,1.28
DRX,2,2,0,34.2,25,11,2.27,0.53,0.54,0.042,72.7,27.3,840,0,0.5,1,2,1,0.75,1,0.7,,0.5,0.5,0.5,0.558,4.35,1.44,2.36
Gen.G,2,2,0,30.3,32,20,1.6,0.86,1.78,0.041,87.1,12.9,4257,0,1,1,6.5,0,0.42,1,0.67,,0,0,0.529,0.574,3.32,1.08,1.88
OKSavingsBank BRION,2,0,2,34.2,11,25,0.44,0.53,-0.54,-0.042,27.3,-27.3,-840,1,0.5,0,3.5,0,0.25,0,0.3,,0.5,0.5,0.5,0.442,3.85,1.59,2.35
BNK FEARX,3,2,1,28.3,49,29,1.69,0.92,0.45,0.049,44.5,22.2,207,0.67,0.33,1,6,0.67,0.89,0.33,0.18,0,0.33,0.5,0.494,0.487,4.28,1.39,1.35
DN Freecs,3,1,2,28.3,29,49,0.59,0.92,-0.45,-0.049,55.5,-22.2,-207,0.33,0.67,0,4.7,0.33,0.11,0.67,0.82,1,0.33,0.5,0.506,0.513,2.77,1.04,1.8
DRX,2,0,2,30.2,12,36,0.33,0.8,-2.34,-0.117,28.2,-28.2,-1530,0,0,0,3.5,0,0.17,0.5,0.38,,0,0,0.496,0.42,3.88,1.43,1.9
