Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Gen.G,2,2,0,28.7,34,14,2.43,0.84,2.58,0.07,87.6,12.4,3198,1,1,1,,0.75,,0,0.63,,1,1,0.517,0.515,4.14,1.37,1.83
Hanwha Life Esports,3,1,2,34.7,44,51,0.86,0.91,1.09,0.014,69.7,-36.3,1367,1,1,1,,0.67,,0.67,0.46,0,0.33,0.33,0.512,0.481,3.93,1.36,2.02
Nongshim RedForce,2,0,2,28.7,14,34,0.41,0.84,-2.58,-0.07,12.4,-12.4,-3198,0,0,0,,0.25,,1,0.38,,0,0,0.483,0.485,3.17,1.41,1.6
DN Freecs,3,1,2,39.2,36,40,0.9,0.65,0.15,0.007,51.4,-18,-886,1,0.67,0.67,,0.67,,1,0.41,0,0.67,0.6,0.495,0.478,3.77,1.39,2.05
DRX,3,2,1,39.2,40,36,1.11,0.65,-0.15,-0.007,48.6,18,886,0,0.33,0.33,,0.33,,0,0.59,1,0.33,0.4,0.505,0.522,4.12,1.34,2.08
Liiv SANDBOX,2,0,2,30.7,14,34,0.41,0.78,-2.14,-0.149,16,-16,-2987,0,0,0,,0,,0,0,0,0,0,0.504,0.465,3.08,1.46,1.95
T1,2,2,0,30.7,34,14,2.43,0.78,2.14,0.149,84,16,2987,1,1,1,,1,,1,1,1,1,1,0.496,0.535,3.79,1.3,1.41
Dplus KIA,2,2,0,38,34,30,1.13,0.84,-0.2,-0.037,40.3,59.7,-1142,1,0,0,,0.25,,1,0.89,0.5,1,0.67,0.488,0.582,3.89,1.62,1.73
Liiv SANDBOX,2,0,2,38,30,34,0.88,0.84,0.2,0.037,59.7,-59.7,1142,0,1,1,,0.75,,0,0.11,0.5,0,0.33,0.512,0.418,3.48,1.49,2.25
Nongshim RedForce,2,0,2,35.7,22,31,0.71,0.74,-2.43,-0.07,14.8,-14.8,-2736,0.5,0,0,,0.5,,0,0.33,,0,0,0.497,0.418,3.49,1.19,1.91
T1,2,2,0,35.7,31,22,1.41,0.74,2.43,0.07,85.2,14.8,2736,0.5,1,1,,0.5,,1,0.67,,1,1,0.503,0.582,3.32,1.26,1.57
BRION,3,1,2,30.7,25,32,0.78,0.62,-2.42,-0.167,16.2,17.1,-2899,0.33,0,0.33,,0,,0.33,0.33,,0,0,0.485,0.407,4.02,1.48,2.09
DN Freecs,2,2,0,28.4,29,10,2.9,0.69,2.03,0.098,80.9,19.1,2094,0.5,1,1,,1,,1,1,,1,1,0.507,0.53,4.3,1.49,1.75
Gen.G,3,2,1,30.7,32,25,1.28,0.62,2.42,0.167,83.8,-17.1,2899,0.67,1,0.67,,1,,0.67,0.67,,0.67,1,0.515,0.593,4.26,1.5,2.2
KT Rolster,2,0,2,28.4,10,29,0.34,0.69,-2.03,-0.098,19.1,-19.1,-2094,0.5,0,0,,0,,0,0,,0,0,0.493,0.47,3.81,1.49,2.18
Dplus KIA,3,2,1,28.5,48,42,1.14,1.05,0.3,0.011,54.1,12.6,71,0.67,0.33,0.67,,0.67,,0.67,0.82,,0.67,0.67,0.478,0.516,3.64,1.29,1.31
